,id,movieName,rating,ten,nine,eight,seven,six,five,four,three,two,one
0,0111161,1.       The Shawshank Redemption (1994),9.2,1295382,600284,273091,87368,26184,13515,6561,4704,4355,34733
1,0068646,2.       The Godfather (1972),9.1,837932,402527,199440,78541,30016,16603,8419,6268,5879,37128
2,0071562,3.       The Godfather: Part II (1974),9.0,486356,324905,175507,70847,26349,12657,6210,4347,3892,20469
3,0468569,4.       The Dark Knight (2008),9.0,1034863,649123,354610,137748,49483,23237,11429,8082,7173,30345
4,0050083,5.       12 Angry Men (1957),8.9,246765,225437,133998,48341,15773,6278,2866,1723,1478,8318
5,0108052,6.       Schindler's List (1993),8.9,453906,383584,220586,82367,27219,12922,6234,4572,4289,19328
6,0167260,7.       The Lord of the Rings: The Return of the King (2003),8.9,703093,433087,270113,117411,44760,21818,10873,7987,6554,28990
7,0110912,8.       Pulp Fiction (1994),8.8,674884,541946,332876,140886,52091,26828,14203,10425,8912,25610
8,0060196,"9.       Il buono, il brutto, il cattivo (1966)",8.8,246549,199725,138309,58595,18777,8607,3903,2451,2032,10319
9,0120737,10.       The Lord of the Rings: The Fellowship of the Ring (2001),8.8,631020,460809,316221,132929,46699,22658,11002,8295,6911,27013
10,0137523,11.       Fight Club (1999),8.8,637087,572654,371752,152295,53059,24755,12648,8606,6948,17435
11,0109830,12.       Forrest Gump (1994),8.8,622104,553654,373644,151284,51140,22720,11692,7647,5941,12110
12,1375666,13.       Inception (2010),8.7,724798,627987,408686,174229,60668,26910,13436,8703,6932,17621
13,0167261,14.       The Lord of the Rings: The Two Towers (2002),8.7,517453,420229,310443,130399,44743,20787,9690,6815,5851,20950
14,0080684,15.       Star Wars: Episode V - The Empire Strikes Back (1980),8.7,400167,317719,248795,111143,36699,15938,6812,4344,3556,15568
15,0133093,16.       The Matrix (1999),8.6,509155,503334,374602,165544,56990,25363,12552,8597,6496,16073
16,0099685,17.       Goodfellas (1990),8.6,288944,321818,252107,101041,29875,11432,5127,3202,2327,6472
17,0073486,18.       One Flew Over the Cuckoo's Nest (1975),8.6,253488,294955,226631,90925,27027,10438,4679,2510,1936,6587
18,0047478,19.       Shichinin no samurai (1954),8.6,107352,81053,63393,30985,11594,5972,3094,1995,1764,8983
19,0114369,20.       Se7en (1995),8.6,332914,489519,391070,157682,40010,14808,6786,4246,3124,7206
20,0118799,21.       La vita è bella (1997),8.6,198684,189402,133743,55912,19766,9232,4792,3011,2590,7419
21,0317248,22.       Cidade de Deus (2002),8.6,187846,226997,172050,65783,20200,8678,4126,2508,2336,9468
22,0102926,23.       The Silence of the Lambs (1991),8.6,296586,417889,355866,135332,35961,12995,5773,3274,2573,5762
23,0038650,24.       It's a Wonderful Life (1946),8.6,135894,100999,86438,44278,16770,7959,3871,2387,1951,5764
24,0076759,25.       Star Wars (1977),8.6,390842,329068,281958,133849,44539,18719,7973,5070,4063,16833
25,0120815,26.       Saving Private Ryan (1998),8.6,318532,386312,315163,132318,42339,16869,8066,5085,3901,8887
26,0120689,27.       The Green Mile (1999),8.5,302739,358068,296957,122038,37322,14036,6627,3970,2581,5193
27,0245429,28.       Sen to Chihiro no kamikakushi (2001),8.5,203263,186379,145481,65411,22861,9935,5008,2985,2605,8741
28,0816692,29.       Interstellar (2014),8.5,541682,412079,292240,149125,57253,24501,12271,7595,5618,12841
29,6751668,30.       Gisaengchung (2019),8.5,138607,178900,144654,58754,17714,6797,2915,1999,1555,4632
30,0110413,31.       Léon (1994),8.5,262783,322843,275578,115680,32902,11758,5145,2621,1918,5530
31,0056058,32.       Seppuku (1962),8.5,12011,12386,10050,3958,1247,623,242,185,180,1390
32,0114814,33.       The Usual Suspects (1995),8.5,249110,317215,255595,107309,32923,12535,5578,3102,2360,6683
33,0110357,34.       The Lion King (1994),8.5,278856,244123,239851,112482,36841,14555,5877,3259,2129,5364
34,0253474,35.       The Pianist (2002),8.5,169801,236637,200272,76853,21992,8986,4673,2814,2185,6574
35,0088763,36.       Back to the Future (1985),8.5,272432,281836,292568,139222,43060,15001,6118,3095,1906,4349
36,0103064,37.       Terminator 2: Judgment Day (1991),8.5,250079,274320,267276,128538,41413,15700,6802,3670,2542,6199
37,0120586,38.       American History X (1998),8.5,227215,338424,295066,115665,31654,11114,5186,2913,2255,6273
38,0027977,39.       Modern Times (1936),8.5,56695,60882,56953,24443,8324,3823,1874,1059,800,3400
39,0054215,40.       Psycho (1960),8.5,145424,168905,164251,77680,25427,10032,4465,2445,1752,4624
40,0172495,41.       Gladiator (2000),8.5,351745,397860,342066,152978,51388,20819,9503,5613,3765,7320
41,0407887,42.       The Departed (2006),8.5,273091,378878,328627,133756,40239,14852,6655,3853,2962,8544
42,0021749,43.       City Lights (1931),8.5,47258,43613,41510,19090,6718,3342,1864,967,794,2968
43,1675434,44.       The Intouchables (2011),8.5,202778,239677,194439,81087,23665,8439,3853,2161,1575,4129
44,2582802,45.       Whiplash (2014),8.5,156358,231325,198295,84762,25359,9490,4828,2643,1914,3983
45,0095327,46.       Hotaru no haka (1988),8.5,69500,62489,55301,26235,9462,4289,2281,1292,1100,3808
46,0482571,47.       The Prestige (2006),8.5,285267,376953,322233,136910,40491,13735,5945,2918,2088,5400
47,0064116,48.       Once Upon a Time in the West (1968),8.4,82890,81084,73714,36336,12944,5894,2953,1662,1320,4452
48,0034583,49.       Casablanca (1942),8.4,157302,127773,121859,63670,23509,10533,4966,2943,2494,7639
49,0095765,50.       Nuovo Cinema Paradiso (1988),8.4,64252,63354,56905,26327,9328,4189,2092,1058,984,2685
50,0047396,51.       Rear Window (1954),8.4,103110,124822,123845,57555,18013,6929,3184,1751,1365,4086
51,0078748,52.       Alien (1979),8.4,178291,222980,222292,105310,32727,12379,5398,2977,2067,4409
52,0078788,53.       Apocalypse Now (1979),8.4,160857,161662,145459,76222,29868,13357,6748,4039,2889,6104
53,0209144,54.       Memento (2000),8.4,252411,338984,306323,138752,44504,18018,8698,5127,3934,10255
54,0032553,55.       The Great Dictator (1940),8.4,51418,55038,52772,24428,8890,3976,2056,1062,867,2965
55,0082971,56.       Raiders of the Lost Ark (1981),8.4,211864,241217,247825,119300,35832,13067,5561,2823,2045,5473
56,8503618,57.       Hamilton (2020),8.4,22713,13219,8835,4227,1804,1023,608,477,565,2571
57,1853728,58.       Django Unchained (2012),8.4,289744,429910,382976,160698,49586,18673,8887,5467,4168,9683
58,0405094,59.       The Lives of Others (2006),8.4,74310,114128,103025,41953,12249,4877,2405,1228,992,4031
59,0050825,60.       Paths of Glory (1957),8.4,38730,49103,50207,23375,7620,3347,1645,892,856,2663
60,7286456,61.       Joker (2019),8.4,308102,252382,199298,98730,38972,16569,7848,5095,4032,11720
61,0910970,62.       WALL·E (2008),8.4,244337,273522,262667,130278,44895,17638,8357,5184,3806,10394
62,0081505,63.       The Shining (1980),8.4,203027,250350,243126,119315,42630,17668,8420,4965,3412,6636
63,4154756,64.       Avengers: Infinity War (2018),8.4,286148,211517,176120,89034,33785,13214,5887,3846,3082,14074
64,0043014,65.       Sunset Blvd. (1950),8.4,50107,49811,52136,26949,10168,4770,2363,1250,1022,3350
65,0051201,66.       Witness for the Prosecution (1957),8.4,21015,30956,32772,13792,4393,2301,1162,519,564,1647
66,0364569,67.       Oldeuboi (2003),8.3,121928,148789,132549,61247,22724,10146,5365,3206,2601,7667
67,0119698,68.       Mononoke-hime (1997),8.3,88573,92212,88983,43707,14504,5824,2819,1530,1271,4418
68,4633694,69.       Spider-Man: Into the Spider-Verse (2018),8.3,92860,109637,100596,46093,14025,4830,1965,1251,1087,4190
69,0057012,70.       Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),8.3,127138,113369,103845,56301,22610,10646,5126,3009,2329,6670
70,1345836,71.       The Dark Knight Rises (2012),8.3,429580,414638,368921,177295,64648,25336,12095,7017,5029,13463
71,0087843,72.       Once Upon a Time in America (1984),8.3,77971,81271,82354,40410,14329,6250,3167,1755,1336,3036
72,5311514,73.       Kimi no na wa. (2016),8.3,58681,50284,47220,24264,8018,2840,1193,695,500,2070
73,0090605,74.       Aliens (1986),8.3,151177,170248,182656,91923,30937,12050,5305,2787,1978,4344
74,2380307,75.       Coco (2017),8.3,97095,104913,107247,50798,15416,4711,1732,906,675,2195
75,4154796,76.       Avengers: Endgame (2019),8.3,297114,175009,156162,90538,39284,17646,7803,5282,4057,20481
76,0169547,77.       American Beauty (1999),8.3,238253,292166,288323,143432,51373,21796,10732,6643,5359,12754
77,0112573,78.       Braveheart (1995),8.3,241827,246652,249624,128353,46245,19537,9279,5635,4075,8909
78,8267604,79.       Capharnaüm (2018),8.3,16285,18506,17263,6672,1945,831,351,225,187,827
79,0082096,80.       Das Boot (1981),8.3,52530,64947,62929,29752,10090,4502,2207,1236,939,3044
80,1187043,81.       3 Idiots (2009),8.3,127588,88050,63958,30736,11938,6115,3262,2324,2003,9031
81,0114709,82.       Toy Story (1995),8.3,181526,220458,281412,132724,40966,15099,6011,3202,2168,5014
82,0057565,83.       Tengoku to jigoku (1963),8.3,7586,9520,9649,3994,1289,585,277,241,229,1190
83,0086879,84.       Amadeus (1984),8.3,83095,94528,103705,53363,17967,7335,3376,1750,1220,3140
84,0361748,85.       Inglourious Basterds (2009),8.3,251168,369358,361619,164710,57310,23832,12349,7948,5960,15655
85,0086190,86.       Star Wars: Episode VI - Return of the Jedi (1983),8.3,214311,237564,277203,137783,45339,16719,6887,3958,2840,9006
86,0119217,87.       Good Will Hunting (1997),8.3,166621,237974,275106,121804,34747,12108,5349,2813,2009,4282
87,0986264,88.       Taare Zameen Par (2007),8.3,55166,45074,35841,16583,5824,2895,1631,907,935,4402
88,0105236,89.       Reservoir Dogs (1992),8.3,164096,263016,285932,130089,39753,14963,7156,4313,3274,7174
89,0062622,90.       2001: A Space Odyssey (1968),8.3,183866,130926,123607,72702,35671,19528,11132,8066,6218,12538
90,0180093,91.       Requiem for a Dream (2000),8.3,180821,207082,196583,98149,37844,17286,9169,5860,4545,10489
